whole,part,adj,impossible,unlikely,unrelated,probably,guaranteed,part-whole-nonsense,whole-adj-nonsense,word-nonsense
teddy bear,ear,white,0,0,0,4,1,0,0,0
oven,control,slow,1,1,1,1,1,0,0,0
oven,control,moderate,1,1,1,1,1,0,0,0
oven,control,black,0,1,2,2,0,0,0,0
sedan,wheel,dark,0,0,5,0,0,0,0,0
sedan,wheel,white,0,1,4,0,0,0,0,0
field,shrub,overgrown,0,0,0,4,1,0,0,0
field,shrub,open,3,0,1,0,1,0,0,0
jet,wheel,black,0,1,4,0,0,0,0,0
jet,wheel,free,1,1,1,0,0,0,2,0
laptop,button,black,0,0,2,2,1,0,0,0
laptop,button,typical,1,0,0,3,1,0,0,0
laptop,button,old,1,0,0,3,1,0,0,0
laptop,button,open,2,0,0,0,3,0,0,0
laptop,button,windows,1,0,0,1,2,0,1,0
teddy,head,young,0,0,0,3,2,0,0,0
teddy,head,old,0,0,0,2,3,0,0,0
teddy,head,dear,0,0,1,2,2,0,0,0
teddy,head,poor,0,0,2,2,1,0,0,0
teddy,head,brown,0,1,0,3,1,0,0,0
black cat,head,old,0,0,0,1,4,0,0,0
black cat,head,white,2,0,1,2,0,0,0,0
zoo,fence,sunny,1,0,1,1,2,0,0,0
zoo,fence,private,0,0,1,0,4,0,0,0
zoo,fence,old,0,0,2,3,0,0,0,0
zoo,fence,human,1,0,0,0,0,0,4,0
zoo,fence,green,0,1,4,0,0,0,0,0
zoo,fence,miniature,0,0,1,1,3,0,0,0
zoo,fence,crowded,1,0,1,3,0,0,0,0
sweatshirt,hood,blue,0,0,0,5,0,0,0,0
plane,lettering,horizontal,0,0,1,1,3,0,0,0
plane,lettering,vertical,0,1,2,1,1,0,0,0
plane,lettering,white,1,3,0,1,0,0,0,0
child,eye,sick,0,1,4,0,0,0,0,0
child,eye,dear,2,0,0,2,1,0,0,0
child,eye,poor,3,1,1,0,0,0,0,0
child,eye,young,0,0,0,0,5,0,0,0
hair,highlight,red,1,2,1,1,0,0,0,0
hair,highlight,dark,1,2,1,1,0,0,0,0
meter,button,sound,1,0,0,2,0,0,2,0
meter,button,white,0,1,2,2,0,0,0,0
platform,brick,wooden,4,0,1,0,0,0,0,0
platform,brick,gray,0,0,4,1,0,0,0,0
platform,brick,raised,0,0,0,2,3,0,0,0
woman,chain,beautiful,0,0,5,0,0,0,0,0
woman,chain,poor,1,0,3,1,0,0,0,0
tomato,stem,red,3,2,0,0,0,0,0,0
tomato,stem,ripe,0,0,1,2,2,0,0,0
tomato,stem,fresh,0,0,0,2,3,0,0,0
bed,frame,narrow,1,0,0,1,3,0,0,0
bed,frame,wooden,0,1,1,2,1,0,0,0
bed,frame,warm,2,3,0,0,0,0,0,0
bed,frame,dry,0,0,0,3,2,0,0,0
bed,frame,comfortable,3,0,1,1,0,0,0,0
bed,frame,made,4,0,0,0,1,0,0,0
duck,back,fat,0,0,0,4,1,0,0,0
duck,back,white,0,0,1,2,2,0,0,0
girl,ski,old,0,1,3,0,1,0,0,0
steer,leg,brown,0,0,1,4,0,0,0,0
steer,leg,clear,0,0,0,2,0,0,3,0
steer,leg,young,0,0,0,0,5,0,0,0
television,frame,black,0,0,2,2,1,0,0,0
television,frame,educational,2,0,1,0,0,0,2,0
television,frame,national,2,0,1,0,0,0,2,0
television,frame,american,1,0,0,2,2,0,0,0
television,frame,public,2,0,0,0,3,0,0,0
television,frame,long,1,0,1,0,3,0,0,0
television,frame,commercial,2,0,0,1,1,0,1,0
floor,edge,wooden,0,0,0,3,1,0,1,0
floor,edge,bare,1,0,2,1,0,1,0,0
floor,edge,grey,0,0,1,3,0,0,1,0
floor,edge,polished,0,0,2,2,0,0,1,0
floor,edge,concrete,0,1,1,2,0,0,1,0
tower,edge,old,0,0,0,3,2,0,0,0
tower,edge,high,0,0,2,1,2,0,0,0
tower,edge,lofty,0,0,1,2,1,0,1,0
tower,edge,round,0,0,2,2,1,0,0,0
tower,edge,tall,0,0,1,2,2,0,0,0
tower,edge,white,0,1,1,2,1,0,0,0
stove,door,electric,3,1,1,0,0,0,0,0
stove,door,hot,0,2,0,2,1,0,0,0
stove,door,old,0,0,0,3,2,0,0,0
stove,door,warm,0,2,0,3,0,0,0,0
stove,door,white,0,0,2,3,0,0,0,0
back,slat,wooden,1,0,0,2,2,0,0,0
ocean,water,still,0,0,0,0,5,0,0,0
ocean,water,open,1,0,0,0,4,0,0,0
ocean,water,calm,0,0,0,0,5,0,0,0
ocean,water,blue,0,0,0,1,4,0,0,0
ocean,water,deep,0,0,0,1,4,0,0,0
ocean,water,wide,1,0,0,0,4,0,0,0
ocean,water,vast,1,0,0,0,4,0,0,0
lighthouse,door,famous,0,2,0,2,1,0,0,0
lighthouse,door,old,0,0,0,4,1,0,0,0
lighthouse,door,tall,0,0,5,0,0,0,0,0
lighthouse,door,distant,0,0,0,0,5,0,0,0
lighthouse,door,white,0,0,2,3,0,0,0,0
tree,bloom,old,2,2,0,0,1,0,0,0
tree,bloom,hollow,4,0,1,0,0,0,0,0
tree,bloom,tall,1,0,3,0,1,0,0,0
tree,bloom,green,0,1,3,0,1,0,0,0
label,lettering,descriptive,1,0,2,1,1,0,0,0
label,lettering,appropriate,0,0,2,1,2,0,0,0
label,lettering,white,2,3,0,0,0,0,0,0
