title,url,HITId,whole,part,jj
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,371DNNCG442FXXKI9JFHBN166NH8TL,vehicle,light,silver;primary;important
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,38O9DZ0A62NY9K7HXPYNQMWP0FE625,vehicle,light,electric;suitable;yellow
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3H781YYV6TIW6YU9MM1H3XXSHQETE4,he,glass,brown
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3LB1BGHFL2WUC3B0MNDBA0P8Z2JYTO,beak,tip,hooked;curved;long
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3GMLHYZ0LEX9CGQPMS3LFWBAIGQYUF,beak,tip,sharp;open;orange
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,37M4O367VJISXKBW2O72DPWNAPJM5V,swan,head,wild;beautiful;white
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,36818Z1KV3DOH4F3R2T4P1332C43A3,tree,bark,green;hollow;old
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3SD15I2WD2UNU2301PCS9W1H6TE63G,tree,bark,tall
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3Z56AA6EK40OGOBA77H75VAN6KUM6B,cup,stem,empty;silver;plastic
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3XH7ZM9YX2U2VNQ0AMG0B4VZ281R9F,cup,stem,hot;blue
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3H5TOKO3D9J8CYM413HBJ1TNKTA641,elephant,skin,gold;young;grey
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,32CXT5U14G3UXAZ79O5RGJN8P1O8UC,elephant,skin,wild
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,36FQTHX3Z3RT0EKVXGT0KCN9KUP3BY,airport,airplane,commercial;long
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3R6RZGK0XFC9PVFPRIDQBIDTWNZYV4,engine,door,powerful;old;internal
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,39XCQ6V3KY4Q8HQ4F80LOTZ1KP5656,engine,door,stationary;blue
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3D4BBDG7ZHWCAJC1BGPVVWTR2FP3C5,bear,hump,white
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,31GECDVA9JMMRLQIKRAQGZD1GKG66M,she,hair,her;beautiful
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3I7SHAD35MW7KOPFQHMZB9AJ1VEM7A,laptop,speaker,typical;old;wireless
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,34HEO7RUG6UG06052SU07Z6J8QJRAU,laptop,speaker,open;black
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3KI0JD2ZU1I5VL4N31FIMDDXBV067L,toy,ear,classic;mechanical;pretty
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,34O39PNDK68LJG5X86UW2AQPQ84RBP,toy,ear,rabbit;broken
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3KTZHH2ONIFBK2UY0ME5P96ECFKM8X,woman,lip,poor;beautiful
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3BDORL6HKKD4TLX3M6QRDUW78T4RCW,tree,leave,green;old
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3DW3BNF1GHIUAPO7EEFWC5PR38X8V1,poster,writing,original;informational;political
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3BC9H1KCYUCM4KFUHSIMXKW73W1YWE,poster,writing,white
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,32PT7WK7DMFMFBIFBCK6F2B9NF13D5,jacket,lining,white
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3M47JKRKCX19VZ96D67O0D9SMF6688,giraffe,back,young;brown;tall
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3HUR21WDDUP1TKKKRXE8Z3AECY7YX7,jet,tip,black;private;free
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3X2LT8FDHWI7PEOC4OKSY785AHZ8WB,bear,shirt,stuffed;white
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3ZCC2DXSD74QTPAUWT0AIHHNE41YYD,cow,chain,old;dead;white
